Open,High,Low,Close,Volume
2020-11-06,91.3400,92.4800,90.4200,91.1500,1507492
2020-11-05,93.2600,94.1400,90.0700,90.4100,2740172
2020-11-04,91.5700,94.1000,90.6000,92.0400,2148688
2020-11-03,92.4000,94.3200,92.2850,92.9200,1724816
2020-11-02,90.0400,91.2350,89.1200,90.9000,1922357
2020-10-30,88.2800,89.4000,87.7000,88.7500,1796409
2020-10-29,87.4400,89.4300,86.5100,88.5900,1653832
2020-10-28,87.7500,88.9500,87.3300,88.0000,2620494
2020-10-27,90.5800,90.8800,89.0000,89.0400,1799960
2020-10-26,90.5700,90.8900,89.5300,90.8200,1662701
2020-10-23,92.5200,92.6550,90.9100,91.2500,1166239
2020-10-22,90.8450,91.9500,90.1100,91.6900,1479900
2020-10-21,90.9200,91.8700,90.3000,90.7600,2483875
2020-10-20,92.2500,92.5300,90.9253,91.0800,1621541
2020-10-19,92.1200,93.1000,91.0500,91.4200,1326849
2020-10-16,91.8200,93.2700,91.8200,92.5800,3520974
2020-10-15,90.0400,92.2700,89.9000,91.7100,1811980
2020-10-14,91.8800,93.1023,91.2400,91.2800,2514331
2020-10-13,94.0200,94.6600,91.3700,91.7900,2513728
2020-10-12,93.1100,94.8450,92.9000,94.2600,1526575
2020-10-09,93.8900,93.9700,92.7700,92.8600,1501354
2020-10-08,93.6000,94.9100,93.2600,93.5800,1422906
2020-10-07,93.4000,94.8400,93.0300,93.2900,1558054
2020-10-06,93.9900,94.8300,92.2700,92.6500,2163844
2020-10-05,93.8100,94.9500,93.1400,93.6800,1501798
2020-10-02,91.3400,94.3600,91.1800,93.0200,1369144
2020-10-01,95.1000,95.1500,91.6600,92.2600,2662464
2020-09-30,93.5500,94.6800,93.3200,94.1400,2090677
2020-09-29,92.8400,93.7900,92.2900,93.4400,2403230
2020-09-28,92.3100,94.1300,91.8900,93.2200,1385062
2020-09-25,89.0700,91.5950,88.9200,91.2800,2077850
2020-09-24,89.6800,91.1950,88.7800,89.9800,1941329
2020-09-23,92.2500,93.0600,89.5700,89.6200,1817820
2020-09-22,92.7200,94.0000,91.6100,92.3400,2095336
2020-09-21,90.0400,92.5700,89.7200,92.0300,2608930
2020-09-18,92.5400,92.9800,90.9100,91.2800,2549377
2020-09-17,95.0000,95.2200,92.2600,92.8000,1539466
2020-09-16,95.1500,97.5600,94.9400,95.9100,1797412
2020-09-15,95.6000,96.5800,93.9800,94.8400,2411510
2020-09-14,94.4000,95.5700,94.2700,94.9500,1471405
2020-09-11,92.8100,94.1400,92.4760,93.8200,1288279
2020-09-10,93.1100,94.0900,92.5800,92.6200,1850834
2020-09-09,91.9300,93.6900,91.6100,92.5400,1784506
2020-09-08,93.7200,93.7900,91.0700,91.2500,1927580
2020-09-04,94.6300,95.1700,92.6400,93.8100,1892511
