Open,High,Low,Close,Volume
2020-11-06,79.8700,80.1400,77.2700,78.8100,7576545
2020-11-05,80.7427,81.6800,79.8900,80.1400,6581667
2020-11-04,78.9300,80.0200,77.6700,79.3700,8632891
2020-11-03,76.5800,77.6800,75.7600,76.2600,6820353
2020-11-02,76.5500,77.7700,75.7000,76.4000,7306645
2020-10-30,77.4500,78.2800,74.3700,75.7300,11979403
2020-10-29,78.9600,79.4700,77.1330,77.7700,9877153
2020-10-28,80.1800,80.6800,78.9300,79.0100,5910440
2020-10-27,81.0000,81.4900,80.0800,80.9600,5469669
2020-10-26,80.7500,81.7600,79.7600,80.4900,4235527
2020-10-23,81.0000,81.3807,79.8900,81.0400,4303407
2020-10-22,82.2050,82.2050,79.5700,80.7700,4344010
2020-10-21,80.9850,82.5900,80.7200,81.9400,5305066
2020-10-20,80.5000,81.1300,79.5950,80.1400,3366040
2020-10-19,82.2800,82.5050,79.8100,80.0800,4463197
2020-10-16,80.9500,81.6150,80.5200,80.6200,4683982
2020-10-15,81.0200,81.4700,80.1150,80.3500,3864132
2020-10-14,82.5100,82.9600,81.0768,81.9000,5516890
2020-10-13,81.4400,82.4600,80.4610,81.9800,5270342
2020-10-12,79.2800,81.9200,78.9500,81.0600,6724619
2020-10-09,78.1900,78.7500,77.7200,78.2100,5433235
2020-10-08,78.7000,78.9618,77.3500,77.8000,5492097
2020-10-07,78.6800,78.9250,77.6600,78.4700,5421275
2020-10-06,79.7700,80.6440,78.1200,78.3000,4886976
2020-10-05,79.3600,80.1700,78.4000,79.9900,5561114
2020-10-02,81.9900,81.9900,78.1300,78.3000,8789527
2020-10-01,81.7200,83.5400,81.3800,82.6800,6035872
2020-09-30,80.6100,82.0150,80.4000,80.9500,7454960
2020-09-29,81.8300,82.0000,80.5400,80.7800,4829970
2020-09-28,81.6300,82.0200,80.5050,81.9500,3838053
2020-09-25,79.8800,81.3350,79.0600,80.9800,4954328
2020-09-24,79.2800,80.8900,79.2500,79.6900,5023697
2020-09-23,82.5300,83.1500,79.8900,80.1300,5849101
2020-09-22,82.3128,83.2750,80.7550,82.6500,6237487
2020-09-21,79.6400,81.4650,79.1600,81.4100,6293228
2020-09-18,79.3300,80.6400,78.0800,80.0900,9409432
2020-09-17,78.0600,79.1900,77.7100,78.7700,7609525
2020-09-16,81.6800,82.3900,79.8250,79.9900,4996733
2020-09-15,80.0000,82.2089,79.7800,81.7500,6501143
2020-09-14,79.0400,79.4200,78.4800,79.1200,6221811
2020-09-11,79.8300,80.5200,77.6300,77.9700,6024537
2020-09-10,80.2900,81.1100,78.7300,79.0900,8457979
2020-09-09,77.8500,80.0000,77.2600,79.5900,6984702
