Open,High,Low,Close,Volume
2020-11-06,83.0800,83.5500,82.4500,83.0300,3481266
2020-11-05,84.7500,84.7500,82.9800,83.0100,3913996
2020-11-04,83.3500,85.6400,83.0900,83.8600,5653433
2020-11-03,80.8800,83.4200,80.8300,83.1100,5327934
2020-11-02,80.1800,81.0200,79.5100,80.1600,4217719
2020-10-30,79.9400,81.0900,77.6750,78.8900,7363530
2020-10-29,76.5400,77.4400,75.5607,76.6700,3940047
2020-10-28,77.4200,78.1750,76.7000,76.8600,4767332
2020-10-27,79.2200,79.6400,78.7900,78.8500,2828611
2020-10-26,78.8600,79.2200,78.1200,78.6900,3886251
2020-10-23,79.5500,80.0000,79.3200,79.3400,2259356
2020-10-22,79.3800,79.6800,78.6800,79.2900,2516568
2020-10-21,79.5200,80.7400,79.5200,80.2000,3591666
2020-10-20,80.0700,80.7600,79.7100,79.8300,2961027
2020-10-19,80.4500,80.9000,79.0100,79.2100,2854779
2020-10-16,80.1200,80.5900,80.0250,80.3100,2963577
2020-10-15,79.4200,80.1400,79.2830,79.7100,3375814
2020-10-14,80.4400,80.6300,79.4200,79.8600,2200143
2020-10-13,80.5000,80.9900,79.8500,80.2600,3042802
2020-10-12,79.6900,80.9550,79.6200,80.6300,2691097
2020-10-09,79.0900,80.1262,78.8900,79.7700,2870657
2020-10-08,78.2300,78.8400,78.0800,78.7400,2144477
2020-10-07,77.8300,78.3900,77.6900,78.1300,1928468
2020-10-06,78.5500,78.6300,77.2000,77.5400,2640967
2020-10-05,77.5000,78.4900,77.4300,78.4200,2768567
2020-10-02,76.5900,77.9600,76.4600,77.4000,3540285
2020-10-01,77.5300,77.7300,76.7351,77.0600,4048581
2020-09-30,76.5800,77.4500,76.4100,77.1500,3962092
2020-09-29,76.6700,76.7800,75.8500,76.2200,2075984
2020-09-28,76.7300,77.5100,76.4200,76.6100,2586281
2020-09-25,75.3900,76.1100,75.3300,75.9500,2803540
2020-09-24,75.3000,76.2700,74.9600,75.7600,2385544
2020-09-23,76.1700,76.2300,75.0300,75.1400,2962167
2020-09-22,75.2400,76.5700,75.2200,76.0700,2852520
2020-09-21,75.3200,75.9300,74.3500,75.1900,3004512
2020-09-18,76.3000,76.9400,75.2800,75.8300,4563576
2020-09-17,76.5800,77.2050,76.1700,76.7100,2525323
2020-09-16,77.2300,77.7550,76.8700,76.9100,2498994
2020-09-15,77.2200,77.7200,76.9150,76.9400,2093437
2020-09-14,76.9700,77.6900,76.9500,77.1500,2529348
2020-09-11,76.7400,77.2600,76.4100,76.7500,2736883
2020-09-10,77.1100,77.7800,76.2600,76.4100,4165763
2020-09-09,76.4600,78.3650,76.4600,77.5700,3128889
2020-09-08,77.2000,77.3200,75.5650,75.6400,4816342
2020-09-04,77.5300,78.4200,76.3400,77.2100,3644125
2020-09-03,79.6200,80.0950,77.0850,77.6700,4486632
2020-09-02,78.1300,79.7850,78.0100,79.4700,3405635
2020-09-01,79.1500,79.1700,77.8000,78.0900,2968853
2020-08-31,79.2000,79.4900,78.9200,79.2600,3272886
2020-08-28,79.0000,79.5100,78.4400,79.3700,3039773
2020-08-27,78.9900,79.4800,78.8300,79.0600,2208925
2020-08-26,78.2800,79.1650,78.0158,78.6500,3476828
2020-08-25,79.3000,79.3050,78.4700,78.5900,2374145
2020-08-24,78.8100,79.1950,78.6300,79.1300,2796823
2020-08-21,78.3600,78.8400,77.8800,78.6900,3405255
2020-08-20,77.8300,78.3100,77.5500,78.2500,2009262
2020-08-19,77.8600,78.1950,77.6800,77.9500,2470605
2020-08-18,77.2300,78.1900,76.9400,77.6500,4286188
2020-08-17,76.8600,77.7700,76.8300,77.2100,2469141
2020-08-14,76.8900,77.3600,76.6600,77.0500,2538388
2020-08-13,76.9800,77.1850,76.5200,76.9800,2964935
2020-08-12,76.3600,77.7800,76.2600,77.2400,3844311
2020-08-11,76.7100,76.9500,75.8100,75.9600,3398587
2020-08-10,76.5000,76.9000,76.2600,76.6500,3407306
2020-08-07,75.8300,76.2700,75.6000,76.2400,2968072
2020-08-06,75.9200,76.0960,75.6000,75.8600,3156111
2020-08-05,76.7900,77.1000,75.9500,76.1800,2731760
2020-08-04,76.5300,76.8750,76.0300,76.7700,3410928
2020-08-03,76.7000,77.2700,76.4950,76.5700,3127546
2020-07-31,76.6100,77.4600,75.8105,77.2000,4347233
2020-07-30,75.8700,77.1850,75.7200,76.8700,4858421
2020-07-29,75.5800,76.4800,75.5300,76.2000,3186661
2020-07-28,74.9200,75.9900,74.7500,75.7100,4035981
2020-07-27,74.1000,74.7300,74.0000,74.6500,3182769
2020-07-24,74.7300,75.2390,73.9700,74.3200,2630805
2020-07-23,74.8900,75.1750,74.1613,74.2300,3868136
2020-07-22,73.5900,74.2100,72.6100,74.1400,4239366
2020-07-21,74.3600,74.8500,73.9700,74.0400,2920157
2020-07-20,74.9700,75.1800,73.8900,74.2000,2134593
2020-07-17,74.9200,75.2900,74.3800,75.2000,2871830
2020-07-16,74.8000,75.1200,74.2000,74.9800,2557770
2020-07-15,75.0000,75.4900,74.3600,74.6900,3270867
2020-07-14,73.3000,74.9200,73.2800,74.8500,3181513
2020-07-13,73.6300,74.1300,73.2500,73.4600,3142840
2020-07-10,73.2700,73.9600,72.6900,73.6800,4417646
2020-07-09,74.0600,74.6200,73.2300,73.3200,2916739
2020-07-08,74.0600,74.5700,73.7400,74.4900,3167047
2020-07-07,73.1900,74.2200,73.1800,73.9700,4039111
2020-07-06,73.7200,73.8800,72.8800,73.4500,4026338
2020-07-02,73.6400,73.8700,73.0700,73.2800,2658640
2020-07-01,73.2600,73.5800,72.9700,73.0300,3288219
2020-06-30,72.5900,73.5100,72.2700,73.2600,3556077
2020-06-29,71.8900,72.5000,71.8900,72.4300,3176569
2020-06-26,72.6600,72.9200,71.2100,71.5200,5402364
2020-06-25,72.1100,72.7300,71.2600,72.6400,3379898
2020-06-24,72.5900,72.6800,71.7600,72.0300,3242998
2020-06-23,73.3400,73.8700,72.8000,72.9200,3488692
2020-06-22,73.3900,73.4600,72.7200,73.1000,2220372
2020-06-19,74.7000,75.4000,73.3400,73.3600,5842721
2020-06-18,73.7400,73.9900,73.1900,73.6100,2975841
