Open,High,Low,Close,Volume
2020-11-06,46.9600,47.2100,44.2700,44.9500,1462325
2020-11-05,43.8700,46.8900,43.8700,46.4700,2340462
2020-11-04,46.9200,47.2200,43.0300,43.6400,4164956
2020-11-03,48.1000,49.4800,47.8800,48.8100,1614521
2020-11-02,46.1900,47.3100,44.8200,47.2100,1687595
2020-10-30,43.5600,45.5600,43.5600,45.5100,1830835
2020-10-29,41.9600,44.1800,41.3371,43.9500,1360193
2020-10-28,42.2900,43.2600,42.0000,42.1700,1463229
2020-10-27,44.9300,45.2700,43.3400,43.3700,1127777
2020-10-26,45.7000,45.7000,44.3400,45.3400,1333202
2020-10-23,45.7900,46.5450,45.3101,46.3900,1645301
2020-10-22,42.5500,45.2400,42.4300,45.1200,1371043
2020-10-21,43.1600,43.9600,42.2100,42.4100,1657865
2020-10-20,42.7500,44.8200,42.3800,43.2100,2666328
2020-10-19,41.8200,42.0000,40.9700,41.2200,1312525
2020-10-16,41.8100,42.1200,41.0500,41.6900,1578168
2020-10-15,40.0800,41.9000,40.0800,41.7700,1001799
2020-10-14,41.1500,41.7000,40.5400,40.5900,1119683
2020-10-13,42.3900,42.6900,41.0000,41.0400,1239288
2020-10-12,42.2500,42.8700,42.0200,42.8000,1192829
2020-10-09,43.4400,43.7000,42.1700,42.3400,1245235
2020-10-08,43.7500,43.8200,42.6500,43.1000,1334336
2020-10-07,41.9300,43.5400,41.9300,43.1000,1427986
2020-10-06,42.9500,43.4750,41.0700,41.3000,2161532
2020-10-05,40.0100,41.8900,39.9200,41.8300,1640551
2020-10-02,37.2800,39.4950,37.1200,39.3300,1477947
2020-10-01,38.2000,38.8700,37.7500,38.0800,1238787
2020-09-30,38.0700,38.8600,37.8300,38.2500,1296001
2020-09-29,38.2600,38.2900,36.8500,37.7300,909322
2020-09-28,38.1300,38.8800,37.8200,38.5500,1267052
2020-09-25,36.0900,37.4132,35.8219,37.3000,1256582
2020-09-24,36.7100,37.4200,35.7600,36.4800,997827
2020-09-23,37.3400,38.1000,36.4200,36.4400,1236675
2020-09-22,38.5600,38.7900,36.6800,37.1500,2174036
2020-09-21,39.2200,39.9700,38.2900,38.6600,1667081
2020-09-18,40.5100,41.3300,40.2300,40.6500,2133223
2020-09-17,40.3600,40.9950,40.1735,40.7700,1518931
2020-09-16,40.4700,42.0700,40.3000,41.1800,1492012
2020-09-15,40.9300,40.9900,39.9700,40.5900,1270018
2020-09-14,40.0600,41.1900,39.4950,41.0000,2001391
2020-09-11,39.2000,39.8200,38.9300,39.6200,1935393
2020-09-10,39.9600,40.8900,39.0800,39.2000,1755980
2020-09-09,40.2100,40.2900,39.4630,39.7000,1536212
2020-09-08,40.5600,40.7800,39.3800,39.9400,1692361
2020-09-04,41.6600,42.4700,40.3600,41.4700,1428336
2020-09-03,40.6800,42.1000,40.0400,40.4400,1478833
2020-09-02,39.5600,40.4300,39.2500,40.1800,1287698
2020-09-01,39.1200,40.4600,38.6600,39.8900,1252843
2020-08-31,40.1900,40.2050,39.4000,39.5300,1319926
2020-08-28,40.6300,40.6300,39.8850,40.1900,996690
2020-08-27,39.0800,40.4400,39.0800,40.0900,1381182
2020-08-26,40.1000,40.1200,39.2200,39.2700,1213770
2020-08-25,40.8900,41.4000,39.7698,40.4100,925346
2020-08-24,38.7200,40.2500,38.0800,40.2400,916003
2020-08-21,38.7600,39.2750,38.2400,38.3700,1137740
2020-08-20,38.7300,39.1700,38.2600,38.8300,1598731
2020-08-19,39.6400,40.2700,39.1100,39.6800,1627371
2020-08-18,40.8100,40.8100,39.3300,39.5200,1448240
2020-08-17,41.2500,41.4700,40.4100,40.7600,1031531
2020-08-14,40.8000,42.3725,40.6906,41.8200,1083443
2020-08-13,41.1600,41.7300,40.8400,41.2400,1274707
2020-08-12,43.1600,43.3600,40.5900,42.0200,1755019
2020-08-11,42.3700,43.5600,41.8800,42.1500,1401859
2020-08-10,40.4000,41.4800,40.2500,41.0400,1219738
2020-08-07,37.7300,40.1100,37.3100,40.0200,1472591
2020-08-06,37.9800,38.6100,37.8500,38.1300,1310511
2020-08-05,38.4900,38.6700,37.8500,38.3700,1288716
2020-08-04,37.9300,38.3286,37.6650,37.8800,1369623
2020-08-03,38.5500,38.8000,37.7000,38.0500,1620709
2020-07-31,38.0100,38.6100,36.7400,38.5200,4973214
2020-07-30,37.4100,38.4600,36.6300,38.2500,2412749
2020-07-29,36.4800,38.8800,36.1200,38.8200,2499554
2020-07-28,36.6100,37.2500,36.3544,36.6500,1233343
2020-07-27,36.8600,37.2700,36.1600,36.8400,1824919
2020-07-24,37.6300,38.1000,37.1200,37.4200,1404005
2020-07-23,36.6300,37.7900,36.0800,37.3700,1898682
2020-07-22,36.5900,37.5700,36.0600,36.6600,1958519
2020-07-21,35.9200,37.9000,35.7800,37.2400,2946815
2020-07-20,35.2100,35.5300,34.4600,34.9300,1570957
2020-07-17,36.6300,36.8300,35.4300,35.5400,1306878
2020-07-16,36.3100,37.7800,35.8300,36.7600,834973
2020-07-15,36.1800,37.1300,35.6200,36.8900,1316059
2020-07-14,35.9700,35.9700,34.5400,34.9300,1188628
2020-07-13,36.4200,36.4900,35.2900,36.0000,1618284
2020-07-10,33.7500,35.7900,33.6000,35.7700,1624463
2020-07-09,34.3400,34.6600,32.9300,33.4000,1493858
2020-07-08,34.6500,35.4300,33.9700,34.7600,1247887
2020-07-07,35.2300,35.3600,34.2800,34.7500,1673290
2020-07-06,36.5300,37.1800,35.3600,35.8100,2063935
2020-07-02,37.3500,37.8500,35.0800,35.2700,1889574
2020-07-01,37.4900,38.1100,35.9000,35.9400,1731355
2020-06-30,36.7300,38.4400,36.5800,38.1000,1487420
2020-06-29,36.0800,37.3300,35.5000,37.0100,1819390
2020-06-26,37.4300,37.6100,35.1700,35.3700,4276897
2020-06-25,37.1100,38.8700,36.8300,38.6800,2024658
2020-06-24,39.0700,39.0700,37.2200,37.4500,1743919
2020-06-23,40.5700,40.9200,39.5300,39.8300,1578281
2020-06-22,38.8900,40.0900,38.6600,39.5600,2006060
2020-06-19,41.1200,41.1200,38.6200,39.4400,6832866
2020-06-18,39.4900,41.2500,39.2500,40.0600,2511630
