Open,High,Low,Close,Volume
2020-11-06,44.5700,44.7000,43.9500,44.5300,14129145
2020-11-05,44.5800,44.8100,44.2100,44.3500,18897353
2020-11-04,44.2700,44.6100,43.4000,43.7000,23064111
2020-11-03,41.9500,42.9800,41.7521,42.6200,20761579
2020-11-02,42.7500,42.9300,40.9650,41.4000,24480430
2020-10-30,42.4700,43.0500,41.7464,42.2400,22002001
2020-10-29,42.0800,43.6900,41.8900,43.0600,20354399
2020-10-28,42.9100,43.0800,41.9100,41.9800,20256151
2020-10-27,43.6000,43.8400,43.3600,43.4400,11134876
2020-10-26,44.7100,44.8200,43.5500,43.7700,15634591
2020-10-23,45.4000,45.5500,44.6000,45.0600,10529350
2020-10-22,44.5000,45.2350,44.3600,45.1100,15957523
2020-10-21,44.0000,44.9000,43.9700,44.5200,13198948
2020-10-20,44.6300,44.6600,44.1300,44.2700,13137584
2020-10-19,45.5600,45.7600,44.2000,44.3300,17520400
2020-10-16,45.2250,45.8850,44.9000,45.5600,13361955
2020-10-15,45.0300,45.1500,44.5250,45.1100,12904916
2020-10-14,45.8000,46.0050,44.9900,45.2800,15326671
2020-10-13,46.1300,46.3100,45.3800,45.8900,13854743
2020-10-12,45.3000,46.2600,44.9220,45.9900,19520077
2020-10-09,45.3801,45.6300,44.6800,44.8500,25103928
2020-10-08,45.0895,45.3900,44.8300,45.3000,15365992
2020-10-07,45.0300,45.1050,44.2600,44.9600,17829245
2020-10-06,45.2800,45.5200,44.3700,44.5100,17911209
2020-10-05,45.3000,45.9300,45.0200,45.8100,12599396
2020-10-02,45.8000,45.9900,45.1100,45.1500,18104053
2020-10-01,46.5660,46.7700,46.1700,46.4400,15524355
2020-09-30,46.5400,46.7200,45.7500,46.2600,27897250
2020-09-29,46.8500,46.8700,46.1700,46.2000,11873967
2020-09-28,46.8900,47.0700,46.2400,46.7600,16208781
2020-09-25,45.3500,46.3300,45.2200,46.1500,12555978
2020-09-24,45.1900,46.0800,44.9050,45.7000,14500623
2020-09-23,46.2000,46.3800,45.2450,45.3600,19671192
2020-09-22,44.9400,46.4750,44.8400,46.1900,32899316
2020-09-21,44.9200,45.4400,43.4100,44.6800,32257655
2020-09-18,45.4800,45.8500,44.2900,45.2600,39626010
2020-09-17,45.9400,46.4300,45.0200,45.5800,21253663
2020-09-16,47.0500,47.5000,46.7000,46.8100,26330600
