Open,High,Low,Close,Volume
2020-11-06,37.5600,37.6000,37.0800,37.5300,19475288
2020-11-05,37.0200,37.3000,36.9100,37.2300,23149699
2020-11-04,37.0309,37.3000,36.5000,36.5700,30121919
2020-11-03,36.3600,37.3300,36.3000,36.6800,27342892
2020-11-02,36.1900,36.3500,35.6700,35.9000,23483098
2020-10-30,35.5950,35.9300,35.4900,35.9000,29159659
2020-10-29,35.5100,36.0700,35.2800,35.6900,35331966
2020-10-28,36.3150,36.5100,35.6800,35.7100,34561490
2020-10-27,37.3800,37.5000,36.5900,36.8700,37911471
2020-10-26,38.4000,38.4300,37.1500,37.6700,29146548
2020-10-23,38.9300,38.9700,38.6500,38.8200,15556084
2020-10-22,38.8500,38.9600,38.3800,38.8200,20399040
2020-10-21,39.3100,39.5700,38.9800,39.0600,17016266
2020-10-20,39.4400,39.5100,39.0300,39.2000,16564890
2020-10-19,40.1500,40.3800,39.1600,39.3000,19600466
2020-10-16,39.8800,40.3000,39.5500,40.1600,21295117
2020-10-15,39.4700,40.0000,39.3500,39.9700,15456971
2020-10-14,39.8500,40.4200,39.7600,39.8900,16444686
2020-10-13,40.5400,40.6100,39.7100,39.8100,23438266
2020-10-12,39.9300,40.5300,39.6300,40.3600,22757245
2020-10-09,40.1450,40.2300,39.7200,39.8500,16167474
2020-10-08,39.8000,40.1800,39.6600,39.7900,19031346
2020-10-07,38.9800,39.5800,38.7800,39.4000,20593711
2020-10-06,38.5000,39.3500,38.4000,38.5700,28430813
2020-10-05,38.4800,38.7900,38.2850,38.5700,26929054
2020-10-02,38.0460,38.5500,37.9700,38.2700,24492961
2020-10-01,39.1000,39.3100,38.5650,38.8000,20763541
2020-09-30,39.0900,39.7000,39.0200,39.3900,27113197
2020-09-29,39.0700,39.3750,38.8300,39.0600,16476893
2020-09-28,39.1950,39.2900,38.7900,39.1300,24275701
2020-09-25,37.7600,38.5400,37.6200,38.4500,22966645
2020-09-24,38.0000,38.1600,37.6000,37.8500,30910354
2020-09-23,39.2300,39.3900,38.1800,38.2800,24843243
2020-09-22,39.1800,39.4600,38.8800,39.3200,17656815
2020-09-21,39.3100,39.4700,38.6900,39.0400,28494973
2020-09-18,40.1800,40.3200,39.5750,39.8100,44450761
2020-09-17,39.6600,40.4000,39.5100,40.3700,22225917
2020-09-16,40.7200,41.1700,40.3900,40.4200,24322445
2020-09-15,40.5100,40.8390,40.3800,40.6000,19024095
2020-09-14,40.2150,40.6400,40.0500,40.3700,19866723
2020-09-11,39.7650,40.0500,39.5150,39.8800,21852955
2020-09-10,40.0300,40.6350,39.4200,39.5700,25108752
2020-09-09,40.1000,40.4750,39.7150,40.1300,23351624
2020-09-08,40.0500,40.6100,39.9700,40.0000,29101793
2020-09-04,41.2000,41.4300,40.4400,40.8200,34867423
2020-09-03,41.7500,41.8300,40.6700,40.9500,39288117
2020-09-02,42.0400,42.6900,42.0300,42.4200,30045675
2020-09-01,42.0000,42.0700,41.5000,42.0300,23344890
2020-08-31,42.1000,42.3500,41.9400,42.2200,21297990
2020-08-28,42.1400,42.3000,42.0000,42.2000,16573581
2020-08-27,42.4000,42.4700,42.0200,42.2900,22456772
2020-08-26,41.6500,42.2800,41.4500,42.2500,21625828
2020-08-25,42.2300,42.3000,41.7800,41.9600,15417363
2020-08-24,42.0700,42.4700,42.0000,42.1800,17742932
2020-08-21,42.0500,42.3000,41.8100,42.2500,17389561
2020-08-20,41.8700,42.4200,41.7300,42.3100,18443877
2020-08-19,42.1000,42.3500,41.7800,41.8700,20097423
2020-08-18,42.1300,42.2900,41.8100,41.9800,23344586
2020-08-17,42.5500,42.7625,41.8600,42.0900,30374646
2020-08-14,42.4900,42.8800,42.2700,42.5000,32539453
2020-08-13,43.7900,43.8400,42.3800,42.7200,91849461
2020-08-12,47.2800,48.1300,47.2700,48.1000,27023683
2020-08-11,47.9000,48.4500,47.0850,47.1900,18859633
2020-08-10,47.1600,48.0000,47.1600,47.7300,14999189
2020-08-07,47.3300,47.6000,47.0300,47.4300,17054306
2020-08-06,47.2300,47.8250,47.1000,47.7700,14190870
2020-08-05,47.6700,47.7331,47.0500,47.3300,13077572
2020-08-04,47.0100,47.6700,46.9100,47.6700,12839490
2020-08-03,47.1400,47.3550,46.6800,47.1600,14142518
2020-07-31,46.3852,47.1100,45.8600,47.1000,17706367
2020-07-30,46.1300,46.4600,45.3750,46.4400,15385149
2020-07-29,46.4000,46.8800,46.3700,46.7100,11618230
2020-07-28,46.9800,47.0800,46.2100,46.2800,13975256
