Open,High,Low,Close,Volume
2020-11-06,74.4800,74.6200,73.6000,74.2200,1394681
2020-11-05,73.7700,74.9100,73.4200,74.2400,2079270
2020-11-04,73.7700,74.0900,71.8600,73.0200,2427350
2020-11-03,71.9200,72.9400,71.4100,71.9400,2089612
2020-11-02,71.4700,71.9100,70.2900,70.8000,3276126
2020-10-30,70.4708,71.7800,69.9700,71.4200,4298214
2020-10-29,74.8300,76.4500,70.8100,71.0200,7110849
2020-10-28,72.3600,72.9300,70.9800,71.1000,8444543
2020-10-27,72.8300,73.4950,72.5200,73.3900,5498403
2020-10-26,73.2000,73.4500,71.8700,72.7100,6195658
2020-10-23,73.4600,74.3200,73.0900,74.1200,2135638
2020-10-22,72.7300,73.5800,72.2300,73.3800,2705353
2020-10-21,73.0300,74.0400,72.8800,72.8900,2916296
2020-10-20,73.0500,74.0100,72.2950,73.3500,2252389
2020-10-19,73.1900,73.7500,71.9600,72.2000,2791442
2020-10-16,74.3400,74.6300,73.3100,73.3600,2533193
2020-10-15,73.2500,73.8900,72.7600,73.7200,2637225
2020-10-14,73.2200,74.4000,73.1000,73.9600,3273388
2020-10-13,74.9900,75.3200,73.0400,73.2200,3322191
2020-10-12,74.0900,74.9200,73.2700,74.6300,4748863
2020-10-09,73.6500,74.0600,72.7500,73.0800,3584320
2020-10-08,72.5000,73.4500,72.2300,72.9100,2312751
2020-10-07,70.7300,72.4800,70.6000,72.2400,3180263
2020-10-06,70.9000,71.6000,69.6900,69.8300,3111058
2020-10-05,69.6200,71.2600,69.5000,70.9300,4117464
2020-10-02,67.9200,69.3500,67.7900,68.8600,2460550
2020-10-01,70.2200,70.5950,68.9750,69.3300,3426441
2020-09-30,69.2800,70.1050,68.8600,69.4200,3912154
2020-09-29,69.4400,70.0800,68.6300,69.0000,2585597
2020-09-28,68.9700,69.6500,68.7300,69.3200,3971430
2020-09-25,66.8700,68.3200,66.5000,68.0800,2758064
2020-09-24,65.9500,67.6000,65.5800,66.9000,2855009
2020-09-23,68.4600,69.1900,66.8100,67.0900,3086110
2020-09-22,67.6300,68.5000,66.7100,68.2500,2838703
2020-09-21,67.8600,68.1700,67.0720,67.3900,3190042
2020-09-18,70.0800,70.4000,67.9700,68.8600,5525498
2020-09-17,68.1100,70.8650,67.9076,70.1200,3819546
2020-09-16,70.9000,71.8100,70.0500,70.7200,3161210
2020-09-15,69.2363,70.9900,69.2363,70.1300,3436586
2020-09-14,68.3600,69.5800,68.3500,69.2900,3411916
2020-09-11,67.7700,69.1700,67.0600,68.1800,4935531
2020-09-10,66.3100,67.6700,65.3600,65.5600,2679201
2020-09-09,66.0400,66.9400,65.2900,66.4100,2275403
2020-09-08,65.4500,66.6700,65.0400,65.6000,3102694
2020-09-04,67.4000,68.1200,65.8400,66.8100,2544865
2020-09-03,68.6700,68.8900,66.3300,67.1200,3366681
2020-09-02,67.4500,68.9900,67.0900,68.8200,2711194
2020-09-01,66.2600,67.0300,65.8750,66.9700,1705206
2020-08-31,67.3900,67.5400,66.7200,66.8600,2653687
2020-08-28,67.3800,67.7350,67.0100,67.6900,1536856
2020-08-27,68.0000,68.3000,67.1568,67.4100,1589980
2020-08-26,67.0800,67.8500,66.5800,67.7500,2071041
2020-08-25,67.6200,67.6500,66.4700,66.9400,1864206
2020-08-24,65.7100,67.6300,65.5400,67.6200,2429918
2020-08-21,66.1700,66.2100,65.1200,65.7200,3580139
2020-08-20,66.1200,66.7100,66.0200,66.3000,1315338
2020-08-19,67.3000,67.6700,66.7600,66.8900,1935478
2020-08-18,67.6000,67.8800,67.0000,67.2200,1535440
2020-08-17,67.2500,67.8400,66.9500,67.5400,1768655
2020-08-14,66.4900,67.2750,66.0000,66.9300,1289343
2020-08-13,66.3200,67.2950,66.1500,66.9000,1531481
2020-08-12,66.9600,67.6200,66.8900,66.9800,2699002
2020-08-11,67.2900,67.5750,66.2700,66.5300,2302548
2020-08-10,67.3600,67.4800,66.6131,67.1100,2338784
2020-08-07,67.2000,67.6450,66.6950,67.4800,2054490
2020-08-06,67.4900,67.7300,66.6650,67.5800,2307649
2020-08-05,68.1400,68.6750,67.1600,67.4300,2697270
2020-08-04,67.1700,67.9900,66.8700,67.9200,2963068
2020-08-03,66.8500,68.1200,66.6700,68.0400,3398170
2020-07-31,68.7900,69.0000,66.9900,68.3200,3646901
2020-07-30,68.9200,69.4900,67.0000,69.1800,6495271
2020-07-29,63.0700,65.2000,62.6800,64.7900,4818264
2020-07-28,63.4200,63.8400,62.5800,62.6400,3155019
2020-07-27,61.6900,63.6650,61.2900,63.4300,2997383
2020-07-24,62.1800,62.3300,61.4550,61.8000,2677980
