Open,High,Low,Close,Volume
2020-11-06,119.3300,119.5100,117.1800,118.8900,1019412
2020-11-05,119.0400,120.8800,118.3200,119.4200,1346178
2020-11-04,118.9000,119.4700,116.4500,116.8700,1692540
2020-11-03,115.0700,116.7900,114.0250,115.9700,1362504
2020-11-02,113.6200,114.7800,111.6000,114.4300,1631745
2020-10-30,113.7800,114.9800,111.8650,113.2700,1761850
2020-10-29,115.0100,116.1300,113.7000,113.9200,1580996
2020-10-28,117.8550,118.3900,114.6800,114.8200,1833762
2020-10-27,124.6600,125.9600,119.2500,119.4700,2490307
2020-10-26,121.8300,124.2900,120.7100,123.8200,1784465
2020-10-23,124.6000,125.4700,120.7600,122.7150,4006614
2020-10-22,135.3900,136.1000,125.7500,126.6500,4542274
2020-10-21,136.6800,137.9400,135.8600,136.3600,1217021
2020-10-20,136.1400,139.4100,135.9800,136.7200,1200402
2020-10-19,139.1100,140.1700,134.3600,134.8400,1138655
2020-10-16,139.1600,139.7300,137.6700,138.2600,1134587
2020-10-15,140.1500,140.5100,138.2400,138.9100,869650
2020-10-14,142.4700,143.9900,139.5000,140.9100,1218625
2020-10-13,145.0000,146.0300,141.9000,144.0300,1554388
2020-10-12,141.0000,146.9372,140.7102,145.2500,1655003
2020-10-09,137.0200,139.4758,136.1000,139.4300,890391
2020-10-08,134.7900,135.7700,133.6500,135.5100,722559
2020-10-07,134.0500,134.8500,132.2100,133.5100,1208201
2020-10-06,134.9813,137.4300,132.8600,133.3400,1106455
2020-10-05,135.4900,136.1700,134.2000,135.6300,955584
2020-10-02,137.4200,138.4900,134.6000,134.8900,780807
2020-10-01,139.2100,139.9300,137.6650,139.2000,852639
2020-09-30,137.2200,139.1400,136.0600,137.7100,933281
2020-09-29,137.9200,139.0500,136.8900,136.9500,797168
2020-09-28,137.7000,139.0000,136.6900,138.3200,767632
2020-09-25,133.7000,136.7650,133.3350,136.1300,749512
2020-09-24,132.1300,135.1700,132.0700,133.8500,549397
2020-09-23,136.6400,137.4800,132.8600,133.1500,805205
2020-09-22,135.7000,137.8100,133.9000,137.2000,807016
2020-09-21,133.7600,134.8400,132.4050,134.2200,1328412
2020-09-18,134.1400,135.8600,132.3000,133.9900,3356305
2020-09-17,132.6700,134.8500,131.4100,133.9400,1424451
2020-09-16,137.0500,138.6300,134.9600,135.1300,1128029
2020-09-15,135.7800,137.5900,135.2300,135.9200,1504382
2020-09-14,134.0200,136.2200,133.3300,135.4000,1320306
2020-09-11,135.7100,136.9300,131.1500,132.3700,1613606
2020-09-10,140.4500,142.4500,134.1600,134.8800,1996800
2020-09-09,140.4000,142.2400,137.3700,141.5300,1618502
2020-09-08,133.8900,140.8000,133.1100,138.6500,2843272
2020-09-04,139.0600,141.0400,135.1300,137.1400,1574134
2020-09-03,147.1200,147.1283,138.4700,140.6000,1779561
2020-09-02,145.8800,148.4700,144.3950,147.8000,1220553
2020-09-01,145.0400,148.4700,144.5000,145.2300,1956744
2020-08-31,143.5900,145.4800,142.6700,145.2000,1237990
2020-08-28,143.0800,146.4900,142.6200,144.0300,957162
2020-08-27,144.1500,144.3900,140.9600,142.2400,982219
2020-08-26,142.9200,144.9200,142.4000,144.2900,906735
