Open,High,Low,Close,Volume
2020-11-06,204.3400,204.3900,200.4200,201.2600,2475115
2020-11-05,199.6500,204.1200,199.0600,202.9600,2892815
2020-11-04,196.2500,200.8200,194.9000,197.8700,3868514
2020-11-03,193.9400,199.0000,193.2200,197.9300,4545470
2020-11-02,192.0000,192.7000,188.2300,190.2000,2459562
2020-10-30,189.5100,190.4000,185.5200,189.0400,3661181
2020-10-29,189.8000,192.3500,186.9000,189.9400,3581156
2020-10-28,191.3100,193.3650,188.9400,189.7700,4214584
2020-10-27,200.0000,200.5900,195.4100,195.6800,3430420
2020-10-26,202.4900,202.8100,198.5100,201.1400,3249695
2020-10-23,206.7600,208.2100,204.0200,205.0400,2110153
2020-10-22,203.2000,206.3650,202.2000,205.4000,2137823
2020-10-21,207.3900,207.9500,202.0100,202.9100,3083593
2020-10-20,206.7000,211.3800,206.4650,208.0300,3336684
2020-10-19,207.3900,207.9100,204.5900,205.6900,3235296
2020-10-16,208.3200,209.9950,205.8100,206.2100,3246646
2020-10-15,209.5800,210.7300,206.9000,208.6000,4334014
2020-10-14,213.8800,214.4500,210.2700,211.2300,7557023
2020-10-13,214.0100,214.1100,209.1800,210.8100,3317312
2020-10-12,207.4100,214.8900,207.4100,214.1200,3474215
2020-10-09,208.7600,209.8100,206.0700,207.5400,3040923
2020-10-08,205.1500,208.1600,204.1100,207.9800,2330609
2020-10-07,203.9000,205.0000,201.1700,203.6000,2326917
2020-10-06,204.2500,206.0900,199.9000,201.0900,2833119
2020-10-05,201.9300,202.8400,199.5900,201.8000,2551633
2020-10-02,195.3400,200.6999,195.2900,199.9000,2541588
2020-10-01,201.5300,203.1300,197.8738,198.5500,2288651
2020-09-30,198.6800,203.0800,198.3600,200.9700,3075829
2020-09-29,198.1600,198.7700,195.4300,196.7900,2401523
2020-09-28,197.7800,201.8650,197.1500,199.0700,3280138
2020-09-25,192.9600,195.3900,189.6085,194.9500,3105989
2020-09-24,188.9800,197.4594,187.0500,195.1100,5114566
2020-09-23,192.0000,192.9150,185.8650,186.1200,3116142
2020-09-22,194.0000,196.1400,188.4300,191.6200,3355768
2020-09-21,189.9000,194.1700,187.4700,194.0000,4871299
2020-09-18,195.0100,196.6500,192.3848,194.8600,9066647
2020-09-17,198.2100,199.8900,194.5100,194.8300,4274772
2020-09-16,198.4900,203.8000,198.0700,200.6800,3571873
2020-09-15,202.0000,202.5850,197.9800,198.0000,3717632
2020-09-14,203.3000,203.3000,200.6700,201.3400,2756891
2020-09-11,200.2400,201.9100,198.9500,200.9200,2376385
2020-09-10,203.7300,205.3500,199.5500,200.0100,2510274
2020-09-09,204.1900,204.8300,202.0300,202.2200,4681380
2020-09-08,209.5100,209.9600,201.2700,202.4800,4574748
2020-09-04,210.8900,213.3500,205.3200,210.9400,3668891
2020-09-03,211.7500,215.2300,205.8300,207.5600,3533485
2020-09-02,205.7900,210.9300,205.3700,210.0400,3565242
