Open,High,Low,Close,Volume
2020-11-06,17.0700,17.2999,16.6500,16.9700,14036974
2020-11-05,16.4000,17.3100,16.4000,17.2500,17527440
2020-11-04,16.5000,16.7300,16.1175,16.1600,13519758
2020-11-03,16.2000,16.7300,16.1200,16.5500,15148276
2020-11-02,16.0600,16.2200,15.2900,16.1700,25069918
2020-10-30,15.4900,17.0700,15.3000,16.6300,42028117
2020-10-29,15.0500,15.8500,14.7700,15.7700,19523891
2020-10-28,15.8400,16.0300,15.0000,15.0300,26446235
2020-10-27,16.8500,17.0700,16.5100,16.5300,12990934
2020-10-26,17.7400,17.7400,16.3500,16.8000,27651064
2020-10-23,17.7200,18.4100,17.4500,18.3500,21988124
2020-10-22,17.1000,17.7506,17.0200,17.7100,16692160
2020-10-21,17.0000,17.1400,16.7250,16.9900,11362278
2020-10-20,16.6600,17.1600,16.4700,17.0800,15685556
2020-10-19,16.3200,16.7600,16.1850,16.4500,12919304
2020-10-16,16.2800,16.4400,15.9000,16.2000,13688672
2020-10-15,16.1800,16.2400,15.6500,16.1000,19229800
2020-10-14,16.6800,17.1600,16.3600,16.4800,19245892
2020-10-13,17.3000,17.3700,16.4200,16.5900,28061719
2020-10-12,18.5200,18.6200,18.0700,18.0800,15878611
2020-10-09,18.3000,18.9100,17.9800,18.7300,24449150
2020-10-08,18.3200,18.4400,17.6970,18.2000,17459944
2020-10-07,17.7500,18.1600,17.4600,18.0100,16898545
2020-10-06,17.2200,18.2400,17.0900,17.2300,31714307
2020-10-05,17.0600,17.3600,16.6900,16.9900,15330912
2020-10-02,16.2800,17.4300,16.1500,17.2700,22460950
2020-10-01,17.4000,17.4050,16.7400,17.3400,22208791
2020-09-30,17.0900,18.2300,16.9411,17.1100,38387443
2020-09-29,16.6000,16.8500,16.2800,16.5600,14194862
2020-09-28,16.9200,16.9500,16.0100,16.6800,28960872
2020-09-25,15.8200,16.6400,15.5689,16.6300,48616047
2020-09-24,14.9500,15.0000,14.1500,14.6300,23348911
2020-09-23,15.5000,16.1700,15.1300,15.1700,21249143
2020-09-22,15.0500,15.5900,14.9200,15.3300,21506803
2020-09-21,15.4600,15.7150,14.7250,14.9900,32507019
2020-09-18,17.0100,17.3000,15.9450,16.2500,34292575
2020-09-17,16.9800,17.5584,16.7100,17.2600,21690982
2020-09-16,17.1100,17.8600,16.7200,17.5000,26563439
2020-09-15,17.7700,17.8420,16.7784,16.9700,30618117
2020-09-14,17.8200,17.9700,17.4200,17.7900,18679837
2020-09-11,18.1200,18.1200,17.1800,17.5100,21562199
2020-09-10,18.0500,19.1600,17.9200,17.9300,32735763
2020-09-09,18.3000,18.4800,17.4800,17.9300,23650050
2020-09-08,18.0200,18.8500,17.9900,18.5300,30798328
2020-09-04,18.2700,18.6150,17.4900,18.4200,45101902
2020-09-03,17.6600,19.2050,17.3000,17.6300,57080497
2020-09-02,16.9300,17.0900,16.3800,16.9900,19333617
2020-09-01,16.7500,17.2700,16.4400,16.9400,20370034
2020-08-31,17.6700,17.8400,17.0704,17.1100,28361256
2020-08-28,17.1600,17.7800,16.8600,17.6900,43108854
2020-08-27,16.2200,17.3000,16.1400,16.6500,45413809
2020-08-26,16.5700,16.6400,15.4500,15.7200,35787972
2020-08-25,16.8400,17.1000,16.1900,16.7500,26657635
2020-08-24,15.9400,17.2100,15.4100,16.7400,48401967
2020-08-21,15.5000,15.8650,15.4500,15.5600,15940044
2020-08-20,15.4100,15.7000,15.0850,15.5800,17282154
2020-08-19,15.2100,16.3700,15.0639,15.6800,30456742
2020-08-18,15.3900,15.5377,15.0450,15.2000,14170889
2020-08-17,15.8500,15.8600,15.0411,15.3900,20319232
2020-08-14,15.1000,15.8850,14.9100,15.7500,24861674
2020-08-13,14.9500,15.9100,14.9300,15.3400,24496672
2020-08-12,16.1100,16.1900,14.7200,15.2300,36506800
2020-08-11,16.4700,16.5800,15.5500,15.6400,54538444
2020-08-10,13.9900,15.3800,13.9800,15.1300,44266537
2020-08-07,14.0900,14.1800,13.4700,13.9900,31073528
2020-08-06,13.3400,14.4200,13.2700,14.2400,39913200
2020-08-05,13.9700,14.2000,13.4300,13.7200,34008487
2020-08-04,13.0400,13.9100,13.0099,13.5600,28813101
2020-08-03,13.3100,13.3800,12.5600,13.0600,40525345
2020-07-31,13.9900,14.1000,13.4600,13.6400,28402162
2020-07-30,13.9700,14.3200,13.7800,14.1700,24503442
2020-07-29,14.2200,14.4900,13.8100,14.3400,27760895
2020-07-28,13.3400,14.5150,13.3200,14.2200,43793735
2020-07-27,14.2800,14.3000,13.2600,13.3800,33689907
2020-07-24,14.2200,14.6800,14.0700,14.3800,25494156
2020-07-23,14.5700,14.8600,13.9600,14.4100,43441529
2020-07-22,14.8500,15.1100,14.5800,14.6600,28875391
2020-07-21,15.1100,15.3100,14.6800,14.9800,50967709
2020-07-20,15.5100,15.9500,14.8200,14.8900,50230864
2020-07-17,15.3400,15.6800,15.0100,15.2700,75880700
2020-07-16,16.5800,17.1000,15.6000,15.6100,76478200
2020-07-15,16.3300,18.6800,16.2400,18.5000,85752900
2020-07-14,15.2200,15.5400,14.8500,15.3300,28271200
2020-07-13,16.3900,16.6300,15.5000,15.6000,34508500
2020-07-10,15.0700,16.4500,14.8700,16.4000,43826900
2020-07-09,16.1900,16.4600,15.0300,15.2000,29180300
2020-07-08,15.1500,16.1600,14.9100,15.9900,32323000
2020-07-07,15.8800,16.0200,15.2200,15.2700,24626600
2020-07-06,16.0600,16.4900,15.4100,16.1300,36817100
2020-07-02,17.0700,17.3600,15.8600,15.9700,42460400
2020-07-01,16.9300,18.1800,16.3000,16.4200,55917300
2020-06-30,16.2100,16.5800,15.5700,16.4300,42252700
2020-06-29,15.1900,16.6600,14.6100,16.5600,51245100
2020-06-26,16.2000,16.4000,14.8500,15.2800,50288384
2020-06-25,14.5500,16.1501,14.5000,16.0800,56689037
2020-06-24,17.2200,17.2450,15.3300,15.8000,77314906
2020-06-23,17.3000,18.1800,17.0400,18.0300,51569796
2020-06-22,17.5300,17.7400,16.6300,17.0900,62586976
2020-06-19,19.8900,20.0000,17.7200,18.2200,78429742
2020-06-18,18.5000,20.0800,18.4300,19.3100,56334509
