Open,High,Low,Close,Volume
2020-11-06,86.8367,88.3800,86.5400,88.0200,1146108
2020-11-05,87.1200,87.8400,86.1050,86.6000,1477597
2020-11-04,89.3200,89.4800,85.3200,85.4900,2410876
2020-11-03,83.9900,87.0800,83.9900,86.5400,1623577
2020-11-02,83.1900,84.1200,82.4100,83.3000,1446645
2020-10-30,81.1200,82.3400,81.0400,82.2500,1864877
2020-10-29,79.8600,83.2100,79.6300,82.4500,1477046
2020-10-28,80.5800,81.7600,79.9500,80.1500,1598261
2020-10-27,82.6300,83.1800,81.7650,81.9300,957688
2020-10-26,83.5500,84.0100,81.8000,82.4800,1389587
2020-10-23,84.5600,85.1200,84.0600,85.0300,1203763
2020-10-22,82.7000,84.2000,82.2600,83.9900,1168244
2020-10-21,82.3400,83.1800,82.0000,82.6200,1187348
2020-10-20,82.4100,83.3500,81.6600,82.2800,991326
2020-10-19,83.8100,84.3100,81.6300,81.9300,1401866
2020-10-16,83.7600,84.6500,83.3900,83.7300,1346055
2020-10-15,83.4600,83.9700,82.5800,83.2800,1315240
2020-10-14,83.2700,84.7400,83.0810,84.3400,1808153
2020-10-13,83.3400,83.6700,82.5800,83.0000,1559467
2020-10-12,83.2200,83.6500,82.4100,83.0100,1799353
2020-10-09,82.5400,82.9800,81.5800,82.4000,1359551
2020-10-08,82.0000,83.5000,81.5600,82.0700,1855727
2020-10-07,80.4250,81.1600,80.1700,80.5200,1941211
2020-10-06,80.6800,82.8545,79.0700,79.4300,3443304
2020-10-05,80.1400,81.7900,79.9700,81.4500,2556374
2020-10-02,78.0100,79.9899,78.0000,79.4300,1613264
2020-10-01,80.1100,80.9500,78.7000,79.3500,1509650
2020-09-30,79.2626,80.4400,79.0300,79.7700,2044295
2020-09-29,79.5400,80.0300,78.9000,79.1700,1695797
2020-09-28,78.7700,79.8300,78.7700,79.5800,1580295
2020-09-25,75.4900,77.9500,75.3200,77.7000,1328424
2020-09-24,75.7300,76.8500,75.0800,75.9100,1356226
2020-09-23,77.9200,78.0700,75.6900,76.0700,1974383
2020-09-22,77.1800,77.7700,76.5403,77.6000,1235280
2020-09-21,77.5700,77.7700,75.6100,76.7500,1617740
2020-09-18,79.7700,79.9300,77.9100,78.5900,2650424
2020-09-17,78.0700,79.7748,78.0000,79.5200,2068248
2020-09-16,79.2300,80.5150,79.1400,79.7500,2082817
2020-09-15,77.8800,79.3800,77.8600,78.9100,1598984
2020-09-14,75.8900,77.9700,75.6000,77.6200,2085553
2020-09-11,75.5900,75.9900,74.4950,74.9900,1566872
2020-09-10,75.8900,76.8750,75.0300,75.3000,2209618
2020-09-09,74.7800,76.4850,74.1600,75.7800,1455453
2020-09-08,74.5500,75.3150,74.1000,74.2900,2667652
2020-09-04,76.5600,77.1900,75.1501,76.0600,1822952
2020-09-03,78.1600,78.2800,75.7100,76.3400,2279734
2020-09-02,76.6700,78.2800,76.5000,78.0100,1423329
2020-09-01,76.2400,76.3475,75.5200,76.2600,1268536
2020-08-31,76.7600,77.1500,76.1621,76.4700,1524507
2020-08-28,76.7100,77.4200,76.1300,77.3100,1115202
2020-08-27,76.4800,77.0000,75.9650,76.5400,1337285
2020-08-26,75.5500,76.2300,75.0600,75.8400,1448657
2020-08-25,75.6800,76.1900,75.4530,75.8500,1379428
2020-08-24,74.2400,75.5700,73.9200,75.5200,1108988
2020-08-21,73.9600,73.9800,73.1300,73.9100,1214261
2020-08-20,73.8100,74.3100,73.6000,74.0400,1068949
2020-08-19,74.7200,74.9250,74.0100,74.1400,1168300
2020-08-18,74.5100,75.0000,74.0300,74.5000,1036018
2020-08-17,74.4400,75.4600,74.0500,74.4500,1035166
2020-08-14,74.2300,74.7100,73.9000,74.3100,817131
2020-08-13,74.0600,75.0500,73.8700,74.4750,1056977
2020-08-12,74.4300,74.7000,73.8300,74.1300,1641099
2020-08-11,74.9100,75.7500,73.7600,73.9500,1979331
2020-08-10,73.2000,74.4300,73.0600,74.3900,1572154
2020-08-07,72.5300,73.6600,72.3700,73.4500,1469942
2020-08-06,72.4700,72.9350,71.9700,72.5900,1866818
2020-08-05,72.9400,73.5700,72.5600,72.7200,1453640
2020-08-04,72.4400,73.0700,72.3400,72.6100,1974927
2020-08-03,71.8700,73.0500,71.4700,72.7600,1902689
2020-07-31,71.5600,71.9300,70.3800,71.9200,2925439
2020-07-30,72.6000,72.6800,71.7100,72.3500,2005949
2020-07-29,72.7800,73.6000,72.1300,73.5500,2300977
2020-07-28,72.6000,73.5200,72.3800,73.1400,1994319
2020-07-27,71.9100,72.6950,71.7800,72.5900,1885485
2020-07-24,73.1100,73.3600,71.5600,72.1900,1744825
2020-07-23,73.6600,74.4700,72.8700,73.1700,1437363
2020-07-22,73.3800,74.1400,73.2400,73.8300,1388279
2020-07-21,73.6800,74.2400,72.9500,73.3300,1349775
2020-07-20,73.1100,73.7300,72.5100,73.3600,1382785
2020-07-17,73.2200,73.6700,72.4700,73.4900,1520245
2020-07-16,73.1700,73.4800,72.1700,72.7400,1391305
2020-07-15,72.2700,73.7500,72.2700,73.5300,1994326
2020-07-14,69.9900,71.9800,69.9600,71.8700,2195722
2020-07-13,73.6700,73.8400,71.4500,71.6300,2057856
2020-07-10,72.9600,73.4200,72.2200,73.3000,1373491
2020-07-09,74.6400,74.9700,72.0100,72.8800,1923566
2020-07-08,74.5500,75.7400,74.0100,74.5500,2625130
2020-07-07,77.2300,77.5000,73.8700,73.9400,4185945
2020-07-06,78.7400,78.7800,77.5600,77.7800,3007887
2020-07-02,77.1800,77.5800,76.1300,76.5900,1734294
2020-07-01,75.7800,76.7100,75.4900,76.3000,2170064
2020-06-30,73.6000,76.2700,73.3000,75.7500,2867896
2020-06-29,72.6300,73.9100,72.0300,73.7200,2668808
2020-06-26,72.6200,73.3200,71.3600,71.7900,3689599
2020-06-25,71.1500,73.3500,71.0400,73.0500,1732101
2020-06-24,73.5500,73.8600,71.1300,71.4600,1766968
2020-06-23,75.1300,75.1300,74.0400,74.1800,1613909
2020-06-22,73.2600,74.6300,72.9600,74.2500,1211697
2020-06-19,76.5300,77.1800,73.4200,73.9700,6158347
2020-06-18,75.1800,76.5200,74.9200,75.5300,2533380
