Open,High,Low,Close,Volume
2020-11-06,11.0700,11.1000,10.4400,10.4900,6542976
2020-11-05,10.6100,11.0700,10.6100,11.0100,3970704
2020-11-04,11.2100,11.2500,10.5550,10.5700,6543448
2020-11-03,11.5200,11.6400,11.3600,11.5800,4307460
2020-11-02,10.8500,11.3100,10.6200,11.3100,7623516
2020-10-30,10.5800,10.7550,10.5150,10.6700,15145476
2020-10-29,10.5700,10.8400,10.3800,10.7500,5492206
2020-10-28,10.4800,10.7384,10.4200,10.5300,4493522
2020-10-27,11.0100,11.0450,10.6300,10.6400,4739806
2020-10-26,11.3400,11.4000,10.9500,11.0800,5303175
2020-10-23,11.4800,11.8600,11.0900,11.4400,7567154
2020-10-22,10.5800,11.3500,10.5300,11.3300,7785650
2020-10-21,10.5195,10.6250,10.4700,10.5600,2663356
2020-10-20,10.5100,10.7100,10.4750,10.5200,3296851
2020-10-19,10.6400,10.6800,10.3550,10.3700,2926017
2020-10-16,10.6600,10.6600,10.3650,10.5800,2858174
2020-10-15,10.3000,10.6650,10.2300,10.6200,3339667
2020-10-14,10.4900,10.5836,10.2800,10.3100,3310879
2020-10-13,10.8000,10.8650,10.4200,10.4200,3672201
2020-10-12,10.8200,10.9500,10.7600,10.9000,3836510
2020-10-09,11.0900,11.1300,10.8000,10.8300,3214365
2020-10-08,11.0300,11.1000,10.9100,11.0300,3036699
2020-10-07,10.9100,11.1800,10.8800,10.9700,3425081
2020-10-06,10.9200,11.2000,10.7100,10.7800,5402549
2020-10-05,10.6100,10.9400,10.6100,10.7700,3595870
2020-10-02,10.0300,10.5856,9.9800,10.5300,3711000
2020-10-01,10.2900,10.3953,10.0800,10.1700,3016686
2020-09-30,10.2000,10.4300,10.1800,10.3100,3966737
2020-09-29,10.2400,10.2400,9.9750,10.1700,3311338
2020-09-28,10.0900,10.3150,10.0400,10.2300,3175566
2020-09-25,9.8500,9.9700,9.7350,9.9300,3319135
2020-09-24,9.9500,10.2100,9.7800,9.8800,5266350
2020-09-23,10.1600,10.3500,9.8800,9.8900,4138579
2020-09-22,10.2700,10.3900,10.0100,10.0300,4275751
2020-09-21,10.4400,10.6100,10.1300,10.2000,5179688
2020-09-18,10.5600,10.6900,10.4650,10.6300,10991187
2020-09-17,10.2700,10.6600,10.2700,10.6200,4149049
2020-09-16,10.3500,10.6600,10.2700,10.5000,3974718
2020-09-15,10.6000,10.6300,10.2900,10.3200,3272965
2020-09-14,10.2900,10.6800,10.2500,10.5900,3946476
2020-09-11,10.1300,10.2800,10.0450,10.1800,3846440
2020-09-10,10.4600,10.5050,10.1300,10.1400,3987433
2020-09-09,10.6100,10.6400,10.4100,10.4300,3926936
2020-09-08,10.9604,10.9604,10.4500,10.5500,5308517
2020-09-04,10.8900,11.1200,10.7700,11.0250,4208820
2020-09-03,10.7500,11.1300,10.5900,10.6350,3584881
2020-09-02,10.5300,10.7200,10.4600,10.6500,2714338
2020-09-01,10.5500,10.7550,10.4050,10.5600,3799950
2020-08-31,10.6700,10.7400,10.5000,10.5800,3984781
2020-08-28,10.8000,10.8600,10.6500,10.6900,2219601
2020-08-27,10.5100,10.8000,10.4800,10.7200,2317334
2020-08-26,10.8000,10.8000,10.4500,10.4600,2389346
2020-08-25,10.9500,11.0500,10.6640,10.8100,2454334
2020-08-24,10.5400,10.8000,10.3600,10.7900,2985065
2020-08-21,10.5000,10.5350,10.3700,10.4500,2824800
2020-08-20,10.6500,10.7400,10.4800,10.5100,2940024
2020-08-19,10.8700,11.0150,10.7550,10.8000,2345528
2020-08-18,11.2196,11.2200,10.8100,10.8500,3518974
2020-08-17,11.2800,11.3550,11.1350,11.1700,3510662
2020-08-14,11.1700,11.4800,11.0800,11.3600,2585978
2020-08-13,11.4100,11.5500,11.2000,11.2400,3102089
2020-08-12,11.9200,11.9200,11.3700,11.5500,2765035
2020-08-11,11.8500,12.1200,11.5700,11.6500,3152075
2020-08-10,11.4270,11.7200,11.3450,11.5500,2989950
2020-08-07,10.8500,11.3350,10.7550,11.3200,3147597
2020-08-06,10.7100,11.0200,10.6800,10.8500,3363603
2020-08-05,10.5700,10.7550,10.4900,10.7200,6767792
2020-08-04,10.6700,10.7050,10.3500,10.5200,6566104
2020-08-03,10.8600,10.9700,10.6000,10.6750,9897654
2020-07-31,11.0000,11.0600,10.7500,10.7900,13711829
2020-07-30,11.2000,11.2800,10.8500,11.2400,5322693
2020-07-29,11.2600,11.4800,11.0400,11.4700,6188202
2020-07-28,11.2600,11.4400,11.1650,11.1900,5786507
2020-07-27,12.1685,12.1685,11.2800,11.3600,4985457
2020-07-24,11.9900,12.3600,11.8700,12.0000,5354483
2020-07-23,11.5200,11.9200,11.5200,11.7800,3413098
2020-07-22,11.6600,11.6900,11.4200,11.5700,2906005
2020-07-21,11.1600,11.7300,11.1500,11.7100,2832273
2020-07-20,11.2500,11.3500,11.0800,11.0900,2914916
2020-07-17,11.6600,11.7000,11.3200,11.3500,3272313
2020-07-16,11.5900,11.8700,11.4800,11.6600,2700337
2020-07-15,11.5000,11.7900,11.3800,11.7100,3121621
2020-07-14,11.2500,11.4000,10.9900,11.1600,3105426
2020-07-13,11.2000,11.4900,11.0000,11.3100,4217995
2020-07-10,10.5500,11.1600,10.4700,11.1300,5151305
2020-07-09,10.9000,10.9600,10.3400,10.4000,4963371
2020-07-08,10.9700,11.2000,10.7900,10.9700,3235708
2020-07-07,11.1900,11.2300,10.9300,11.0000,4174728
