Open,High,Low,Close,Volume
2020-11-06,138.5600,139.7700,137.3300,138.3800,2867077
2020-11-05,139.3548,140.2700,137.4700,138.0500,3667806
2020-11-04,139.0000,141.7000,137.6600,137.8600,4576320
2020-11-03,136.6200,138.6000,136.2800,137.0400,3293928
2020-11-02,135.6100,136.2300,133.7800,135.1500,3126408
2020-10-30,132.9300,133.8400,131.7100,133.2900,4303971
2020-10-29,133.7550,135.6300,132.2621,133.9900,3856469
2020-10-28,137.1506,137.7100,133.9400,134.1700,5196038
2020-10-27,138.5710,139.8900,138.3000,139.1200,3390825
2020-10-26,138.7400,139.0800,136.4100,138.0600,3431215
2020-10-23,140.2200,140.5300,139.0400,139.5600,2758507
2020-10-22,139.8000,140.2000,139.0100,139.6100,2909227
2020-10-21,139.6829,140.4800,139.1000,139.6000,2560061
2020-10-20,141.0000,141.2150,139.4072,139.7100,2751622
2020-10-19,141.3400,142.5300,139.2500,139.6800,3223384
2020-10-16,141.7500,142.8200,141.1300,141.7300,5076139
2020-10-15,141.1600,141.9700,140.6200,141.4300,3307718
2020-10-14,143.5500,144.1100,141.6250,142.5200,3641327
2020-10-13,142.2200,144.0000,141.9100,143.5400,4293198
2020-10-12,141.1200,143.4900,139.7800,142.1300,6167150
2020-10-09,138.7000,139.2600,137.8950,138.4400,3194022
2020-10-08,137.2800,138.1300,136.7600,137.8500,2977598
2020-10-07,135.9400,137.5200,135.7600,137.0100,4347287
2020-10-06,138.0000,138.8200,135.1500,135.7000,5031019
2020-10-05,138.1100,138.3800,136.9800,137.9300,4519821
2020-10-02,139.2800,139.9100,136.2000,138.0600,5130582
2020-10-01,139.4400,140.8500,137.4866,140.8000,6483894
2020-09-30,137.9900,139.1900,136.9000,138.6000,7060713
2020-09-29,138.6600,139.5400,137.1300,137.1600,4333805
2020-09-28,136.0400,138.5800,135.6700,137.9700,7487509
2020-09-25,130.8900,133.8300,130.5150,133.5500,4575979
2020-09-24,131.4370,132.3100,129.9200,131.5800,4316594
2020-09-23,132.7000,132.8200,129.8500,131.0000,5909940
2020-09-22,131.0000,132.8900,130.4450,132.1500,3950959
2020-09-21,130.3700,131.3100,129.3600,131.2400,4402723
2020-09-18,133.7100,134.7900,130.0100,131.4700,8472958
2020-09-17,133.3900,134.5500,131.6900,133.2000,5186417
2020-09-16,136.2800,136.6000,134.7800,134.9800,3353726
2020-09-15,136.4800,137.2400,135.4100,135.6200,4080783
2020-09-14,136.5275,137.5000,135.8000,136.6700,2779316
2020-09-11,135.2200,136.3800,134.2300,135.8100,3411914
2020-09-10,136.6000,137.5500,133.8800,134.7600,6050544
2020-09-09,135.5000,138.4600,135.4000,137.1100,4282289
2020-09-08,138.3100,138.6295,134.4100,135.5500,4901536
2020-09-04,139.6600,140.3100,136.9400,138.7600,4836833
2020-09-03,142.7663,144.0350,138.1200,139.3700,6642417
2020-09-02,139.5200,143.8200,139.3500,143.2900,4918523
2020-09-01,140.2500,140.4800,138.5050,139.1900,3422807
2020-08-31,139.3200,141.0200,139.0000,140.0600,3828697
2020-08-28,138.5200,139.9600,137.2400,139.9400,3355482
2020-08-27,138.7100,139.9284,137.9100,138.4000,4159270
2020-08-26,136.5753,138.6600,136.3800,138.4700,6019737
2020-08-25,138.2600,138.3800,136.7000,137.3000,2597448
2020-08-24,136.4600,137.6800,136.1100,137.6400,3177925
2020-08-21,136.3700,136.6600,135.2500,136.4600,4295630
2020-08-20,135.6600,137.1500,135.6300,136.7200,2263090
2020-08-19,138.6900,138.7950,136.1000,136.4500,3682226
2020-08-18,138.6100,138.6100,137.0400,138.1100,2638555
2020-08-17,137.5000,138.8900,137.0500,137.9200,2856290
2020-08-14,138.1100,138.1720,137.2000,137.5600,2461687
2020-08-13,137.1000,138.6100,137.1000,138.1000,2393520
2020-08-12,135.3400,138.6800,135.2500,137.8000,4425182
2020-08-11,136.9700,137.4500,134.6200,135.1200,3301552
2020-08-10,136.3200,136.8800,135.3800,135.9800,3052091
2020-08-07,135.9400,136.7600,135.3700,136.7400,3692151
