Open,High,Low,Close,Volume
2020-11-06,204.6000,204.9200,198.5500,202.7300,8075064
2020-11-05,202.3000,204.9200,199.3700,204.5600,15188527
2020-11-04,186.7600,195.0000,184.1102,194.2900,16106952
2020-11-03,177.9400,188.7500,174.8100,179.8100,31655971
2020-11-02,189.0100,192.7050,185.0500,187.7600,14386024
2020-10-30,193.2900,195.3300,182.9200,186.1300,12041236
2020-10-29,194.0800,197.5900,192.3100,195.0400,7627102
2020-10-28,196.9600,198.3900,191.5000,192.3100,8050042
2020-10-27,198.7900,201.3200,197.7200,200.4300,4754359
2020-10-26,200.6600,203.8900,195.0500,197.2200,7715998
2020-10-23,206.2400,206.2400,201.2100,203.0400,6644745
2020-10-22,211.9000,212.3400,202.1403,203.9300,12398290
2020-10-21,208.3000,215.8300,206.0200,213.0700,17247188
2020-10-20,201.1400,205.4700,200.3100,201.9600,4867725
2020-10-19,205.5200,207.2300,199.1000,200.0600,6566682
2020-10-16,204.4400,207.4700,202.2200,204.4500,9663990
2020-10-15,199.9900,203.4800,198.1280,203.1400,7630531
2020-10-14,208.2035,208.9480,200.5000,203.6000,8591824
2020-10-13,202.4400,209.0200,200.1100,207.7400,8145300
2020-10-12,199.8700,204.0800,196.6323,201.5100,10603246
2020-10-09,194.3600,197.3500,192.6000,197.2700,7082372
2020-10-08,196.7500,196.8700,192.6700,193.0600,5582626
2020-10-07,193.9100,195.7100,193.3300,194.6100,4228748
2020-10-06,196.1300,197.3700,190.8800,191.6600,5921767
2020-10-05,193.5500,196.9100,192.1600,196.8500,5024054
2020-10-02,192.7300,196.2100,189.2500,191.9100,6546430
2020-10-01,199.2600,201.2700,196.2205,196.9400,7268872
2020-09-30,194.0600,198.7200,193.3110,197.0300,7939637
2020-09-29,192.6400,195.7800,191.1100,194.5000,6766102
2020-09-28,190.9996,192.4700,188.0900,192.0200,7590637
2020-09-25,182.4000,187.9200,180.1300,187.2500,7606454
2020-09-24,180.1700,184.9000,179.6000,182.1900,7374516
2020-09-23,188.3900,188.4700,181.1000,181.6100,6782378
2020-09-22,186.7900,188.0600,182.1850,187.7800,8939288
2020-09-21,174.8400,183.4500,174.0800,183.2100,13765625
2020-09-18,176.7000,178.2500,171.6300,176.0700,13557242
2020-09-17,176.6300,178.7400,173.7900,175.7900,11840100
2020-09-16,187.0950,189.3400,180.6700,180.9100,8174799
2020-09-15,190.0500,190.4500,184.1800,186.0200,7763369
2020-09-14,186.0000,188.6000,184.3800,186.9600,7053058
2020-09-11,191.4620,192.1000,180.9300,184.0000,8110351
2020-09-10,196.0900,198.2200,187.8400,190.0900,6580655
2020-09-09,191.0000,195.7500,187.3000,194.6000,8541960
2020-09-08,184.7000,191.7500,184.7000,185.9500,9282378
2020-09-04,200.9850,201.8400,182.8500,191.8400,17034108
2020-09-03,205.6900,206.5900,194.9500,204.9900,16006894
2020-09-02,211.6222,212.4500,204.6000,210.8200,7219494
2020-09-01,205.5900,209.8799,205.1450,208.9300,6237911
2020-08-31,203.7000,205.2523,202.2984,204.1400,5628727
2020-08-28,205.4159,205.4159,202.4200,204.4800,4581319
2020-08-27,206.8100,207.0000,202.3000,204.3400,6051898
2020-08-26,202.5300,205.3500,200.2500,203.4800,6072171
2020-08-25,198.4900,201.9600,196.2400,201.6700,5108202
2020-08-24,200.0000,201.0988,196.5700,198.8800,5404075
2020-08-21,197.9300,199.0999,196.2200,196.7900,6092535
2020-08-20,192.0600,198.7000,191.5100,198.1800,6772962
2020-08-19,195.0600,196.8400,191.9200,192.4400,6865340
2020-08-18,197.7300,198.7500,194.0000,194.5700,5362472
2020-08-17,193.9200,197.4200,193.2500,196.2900,6198365
2020-08-14,195.1900,195.4687,190.5100,191.4600,4847965
2020-08-13,192.1000,195.1300,191.4800,193.0700,10082355
2020-08-12,190.0000,192.5100,189.4000,191.3200,7939997
2020-08-11,192.0000,193.5350,186.5200,189.0300,9155292
2020-08-10,198.7000,199.8500,191.6900,193.3200,8792199
2020-08-07,203.7100,203.9509,196.7000,198.6300,6525299
2020-08-06,202.0000,204.1600,198.8800,204.0900,5821425
2020-08-05,199.0000,204.2300,198.0900,202.9100,7573326
2020-08-04,196.3500,199.1000,195.5206,197.3300,5771585
2020-08-03,198.2500,199.4000,195.2200,197.0700,7961646
2020-07-31,193.0500,196.3500,191.6900,196.0700,10865370
2020-07-30,191.8100,198.6599,189.1314,192.5100,16803593
